Zone,Produit,origine,dispo_alim_tonnes,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Algérie,"Beurre, Ghee",animal,19604.0,11.0,0.01,1.2
Algérie,Cephalopodes,animal,1960.4,0.0,0.02,0.0
Algérie,Crustacés,animal,4704.96,0.0,0.03,0.0
Algérie,Graisses Animales Crue,animal,9802.0,6.0,0.0,0.66
Algérie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Algérie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Algérie,Lait - Excl Beurre,animal,5549108.24,227.0,13.34,11.13
Algérie,"Mollusques, Autres",animal,392.08,0.0,0.0,0.0
Algérie,Oeufs,animal,316016.48,27.0,2.3,1.85
Algérie,Perciform,animal,16467.36,0.0,0.09,0.01
Algérie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Algérie,Poissons Eau Douce,animal,13330.720000000001,1.0,0.08,0.02
Algérie,"Poissons Marins, Autres",animal,16859.44,1.0,0.12,0.03
Algérie,Poissons Pelagiques,animal,99980.4,6.0,0.87,0.27
Algérie,Viande d'Ovins/Caprins,animal,301509.52,43.0,2.81,3.42
Algérie,Viande de Bovins,animal,219564.8,25.0,2.25,1.76
Algérie,Viande de Suides,animal,0.0,0.0,0.0,0.0
Algérie,Viande de Volailles,animal,290923.36,26.0,2.28,1.75
Algérie,"Viande, Autre",animal,14114.88,1.0,0.15,0.08
Allemagne,Abats Comestible,animal,62045.25,2.0,0.37,0.06
Allemagne,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Allemagne,"Beurre, Ghee",animal,426871.32,101.0,0.13,11.46
Allemagne,Cephalopodes,animal,18199.94,0.0,0.09,0.01
Allemagne,Crustacés,animal,67836.14,1.0,0.24,0.01
Allemagne,Crème,animal,522834.64,34.0,0.47,3.34
Allemagne,Graisses Animales Crue,animal,586534.43,138.0,0.0,15.34
Allemagne,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Allemagne,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Allemagne,Lait - Excl Beurre,animal,21401474.9,331.0,24.58,16.5
Allemagne,"Mollusques, Autres",animal,28954.45,0.0,0.03,0.0
Allemagne,Oeufs,animal,1009269.4,47.0,3.82,3.32
Allemagne,Perciform,animal,338353.43,20.0,1.83,1.35
Allemagne,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Allemagne,Poissons Eau Douce,animal,351589.75,7.0,1.14,0.26
Allemagne,"Poissons Marins, Autres",animal,29781.72,1.0,0.13,0.03
Allemagne,Poissons Pelagiques,animal,203508.42,7.0,0.78,0.37
Allemagne,Viande d'Ovins/Caprins,animal,60390.71,5.0,0.25,0.4
Allemagne,Viande de Bovins,animal,1088687.32,39.0,4.71,2.06
Allemagne,Viande de Suides,animal,4286085.87,237.0,14.26,19.51
Allemagne,Viande de Volailles,animal,1468404.25,65.0,7.26,3.81
Allemagne,"Viande, Autre",animal,205162.96,7.0,1.4,0.16
Angola,Abats Comestible,animal,24692.799999999996,3.0,0.56,0.1
Angola,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Angola,"Beurre, Ghee",animal,1932.48,2.0,0.0,0.19
Angola,Cephalopodes,animal,1288.32,0.0,0.02,0.0
Angola,Crustacés,animal,858.88,0.0,0.01,0.0
Angola,Graisses Animales Crue,animal,10521.28,10.0,0.01,1.15
Angola,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Angola,Lait - Excl Beurre,animal,264105.60000000003,20.0,1.05,1.09
Angola,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Angola,Oeufs,animal,23833.920000000006,4.0,0.33,0.29
Angola,Perciform,animal,131408.64,7.0,1.44,0.13
Angola,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Angola,Poissons Eau Douce,animal,19754.24,2.0,0.27,0.06
Angola,"Poissons Marins, Autres",animal,24478.079999999994,2.0,0.33,0.07
Angola,Poissons Pelagiques,animal,151592.32,14.0,1.94,0.59
Angola,Viande d'Ovins/Caprins,animal,23189.76,5.0,0.44,0.32
Angola,Viande de Bovins,animal,180794.24,36.0,3.48,2.37
Angola,Viande de Suides,animal,190886.08,89.0,2.47,8.7
Angola,Viande de Volailles,animal,372109.75999999995,58.0,5.84,3.66
Angola,"Viande, Autre",animal,9018.24,1.0,0.21,0.03
Antigua-et-Barbuda,Abats Comestible,animal,246.60000000000002,8.0,1.37,0.18
Antigua-et-Barbuda,"Beurre, Ghee",animal,158.4,35.0,0.03,3.93
Antigua-et-Barbuda,Cephalopodes,animal,27.0,1.0,0.12,0.01
Antigua-et-Barbuda,Crustacés,animal,563.4,7.0,1.44,0.07
Antigua-et-Barbuda,Crème,animal,126.9,8.0,0.09,0.76
Antigua-et-Barbuda,Graisses Animales Crue,animal,146.7,33.0,0.03,3.68
Antigua-et-Barbuda,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Antigua-et-Barbuda,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Antigua-et-Barbuda,Lait - Excl Beurre,animal,11136.6,224.0,12.09,12.12
Antigua-et-Barbuda,"Mollusques, Autres",animal,932.4,5.0,0.69,0.06
Antigua-et-Barbuda,Oeufs,animal,389.7,15.0,1.19,1.0
Antigua-et-Barbuda,Perciform,animal,758.7,10.0,1.99,0.18
Antigua-et-Barbuda,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Antigua-et-Barbuda,Poissons Eau Douce,animal,66.6,2.0,0.23,0.07
Antigua-et-Barbuda,"Poissons Marins, Autres",animal,1621.8,33.0,5.76,0.86
Antigua-et-Barbuda,Poissons Pelagiques,animal,833.4,22.0,2.72,1.14
Antigua-et-Barbuda,Viande d'Ovins/Caprins,animal,146.7,7.0,0.61,0.52
Antigua-et-Barbuda,Viande de Bovins,animal,1117.8,56.0,5.66,3.53
Antigua-et-Barbuda,Viande de Suides,animal,1029.6,61.0,3.35,5.08
Antigua-et-Barbuda,Viande de Volailles,animal,5293.8,251.0,19.0,18.93
Antigua-et-Barbuda,"Viande, Autre",animal,66.6,3.0,0.46,0.09
Arabie saoudite,Abats Comestible,animal,108685.33,12.0,1.8,0.4
Arabie saoudite,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Arabie saoudite,"Beurre, Ghee",animal,53045.36,37.0,0.04,4.18
Arabie saoudite,Cephalopodes,animal,2306.32,0.0,0.03,0.0
Arabie saoudite,Crustacés,animal,40072.31,2.0,0.41,0.02
Arabie saoudite,Crème,animal,68901.31,13.0,0.18,1.27
Arabie saoudite,Graisses Animales Crue,animal,17585.69,14.0,0.01,1.52
Arabie saoudite,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Arabie saoudite,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Arabie saoudite,Lait - Excl Beurre,animal,2411545.85,140.0,9.56,7.35
Arabie saoudite,"Mollusques, Autres",animal,576.58,0.0,0.0,0.0
Arabie saoudite,Oeufs,animal,154811.73,21.0,1.57,1.5
Arabie saoudite,Perciform,animal,39207.44,2.0,0.3,0.03
Arabie saoudite,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Arabie saoudite,Poissons Eau Douce,animal,135208.01,8.0,1.2,0.27
Arabie saoudite,"Poissons Marins, Autres",animal,20756.88,1.0,0.2,0.04
Arabie saoudite,Poissons Pelagiques,animal,150487.38,13.0,1.6,0.65
Arabie saoudite,Viande d'Ovins/Caprins,animal,188541.66,43.0,2.5,3.63
Arabie saoudite,Viande de Bovins,animal,185947.05,32.0,2.49,2.41
Arabie saoudite,Viande de Suides,animal,,,,
Arabie saoudite,Viande de Volailles,animal,1414062.45,173.0,17.43,10.93
Arabie saoudite,"Viande, Autre",animal,49297.59,8.0,0.6,0.62
Argentine,Abats Comestible,animal,230439.75999999998,16.0,2.78,0.42
Argentine,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Argentine,"Beurre, Ghee",animal,38130.32,18.0,0.02,2.06
Argentine,Cephalopodes,animal,62583.46,3.0,0.59,0.03
Argentine,Crustacés,animal,13262.72,0.0,0.08,0.0
Argentine,Crème,animal,4144.6,1.0,0.01,0.05
Argentine,Graisses Animales Crue,animal,81234.16,39.0,0.0,4.29
Argentine,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Argentine,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Argentine,Lait - Excl Beurre,animal,8085285.680000001,256.0,14.94,16.81
Argentine,"Mollusques, Autres",animal,35643.56,0.0,0.06,0.01
Argentine,Oeufs,animal,472069.94,41.0,3.1,2.7
Argentine,Perciform,animal,109002.98,3.0,0.59,0.06
Argentine,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Argentine,Poissons Eau Douce,animal,8703.66,0.0,0.06,0.01
Argentine,"Poissons Marins, Autres",animal,414.46,0.0,0.0,0.0
Argentine,Poissons Pelagiques,animal,62583.46,6.0,0.77,0.27
Argentine,Viande d'Ovins/Caprins,animal,64655.76,9.0,0.56,0.77
Argentine,Viande de Bovins,animal,2299424.08,346.0,27.27,23.73
Argentine,Viande de Suides,animal,435597.46,80.0,3.2,7.34
Argentine,Viande de Volailles,animal,1602302.3599999999,166.0,12.38,12.67
Argentine,"Viande, Autre",animal,43103.84,3.0,0.52,0.09
Arménie,Abats Comestible,animal,13664.43,14.0,2.25,0.39
Arménie,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Arménie,"Beurre, Ghee",animal,5239.52,35.0,0.04,3.9
Arménie,Cephalopodes,animal,0.0,0.0,0.0,0.0
Arménie,Crustacés,animal,59.54,0.0,0.0,0.0
Arménie,Crème,animal,29.77,0.0,0.0,0.01
Arménie,Graisses Animales Crue,animal,11401.91,78.0,0.22,8.63
Arménie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Arménie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Arménie,Lait - Excl Beurre,animal,622282.31,351.0,19.86,20.89
Arménie,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Arménie,Oeufs,animal,34801.13,45.0,3.43,3.15
Arménie,Perciform,animal,208.39000000000004,0.0,0.03,0.02
Arménie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Arménie,Poissons Eau Douce,animal,9764.56,6.0,0.98,0.22
Arménie,"Poissons Marins, Autres",animal,535.86,0.0,0.05,0.01
Arménie,Poissons Pelagiques,animal,2470.91,2.0,0.25,0.1
Arménie,Viande d'Ovins/Caprins,animal,8990.54,22.0,1.12,1.89
Arménie,Viande de Bovins,animal,58527.82,114.0,7.97,8.88
Arménie,Viande de Suides,animal,28787.59,72.0,2.53,6.72
Arménie,Viande de Volailles,animal,39742.95,45.0,4.51,2.82
Arménie,"Viande, Autre",animal,0.0,0.0,0.0,0.0
Australie,Abats Comestible,animal,185810.28,24.0,3.86,0.69
Australie,Animaux Aquatiques Autre,animal,5368.89,0.0,0.03,0.0
Australie,"Beurre, Ghee",animal,85668.81,72.0,0.09,8.17
Australie,Cephalopodes,animal,28245.03,3.0,0.47,0.04
Australie,Crustacés,animal,99908.04,6.0,1.13,0.06
Australie,Crème,animal,6769.469999999999,2.0,0.02,0.15
Australie,Graisses Animales Crue,animal,76331.61,64.0,0.06,7.2
Australie,Huiles de Foie de Poisso,animal,233.43,0.0,0.0,0.03
Australie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Australie,Lait - Excl Beurre,animal,5473700.07,339.0,19.81,20.11
Australie,"Mollusques, Autres",animal,68161.56,1.0,0.16,0.02
Australie,Oeufs,animal,198648.93,32.0,2.5,2.29
Australie,Perciform,animal,160599.84,6.0,1.21,0.11
Australie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Australie,Poissons Eau Douce,animal,95939.73000000001,8.0,1.17,0.3
Australie,"Poissons Marins, Autres",animal,50887.740000000005,6.0,0.8,0.22
Australie,Poissons Pelagiques,animal,105510.35999999999,12.0,1.42,0.68
Australie,Viande d'Ovins/Caprins,animal,230395.40999999997,67.0,3.3,5.84
Australie,Viande de Bovins,animal,790393.98,105.0,12.88,5.51
Australie,Viande de Suides,animal,563500.02,111.0,5.69,9.62
Australie,Viande de Volailles,animal,1076579.16,186.0,16.06,13.02
Australie,"Viande, Autre",animal,52054.89,7.0,1.03,0.29
Autriche,Abats Comestible,animal,10533.8,4.0,0.63,0.13
Autriche,Animaux Aquatiques Autre,animal,254.85,0.0,0.0,0.0
Autriche,"Beurre, Ghee",animal,47062.3,109.0,0.14,12.31
Autriche,Cephalopodes,animal,1529.1,0.0,0.07,0.01
Autriche,Crustacés,animal,8834.8,1.0,0.24,0.01
Autriche,Crème,animal,67195.45,42.0,0.59,4.18
Autriche,Graisses Animales Crue,animal,98626.95,240.0,0.02,26.76
Autriche,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Autriche,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Autriche,Lait - Excl Beurre,animal,2192474.55,269.0,22.23,15.48
Autriche,"Mollusques, Autres",animal,4247.5,0.0,0.04,0.01
Autriche,Oeufs,animal,124706.6,57.0,4.56,4.0
Autriche,Perciform,animal,25145.2,10.0,1.01,0.56
Autriche,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Autriche,Poissons Eau Douce,animal,34574.65,7.0,1.1,0.27
Autriche,"Poissons Marins, Autres",animal,6880.95,2.0,0.29,0.07
Autriche,Poissons Pelagiques,animal,36698.4,12.0,1.39,0.62
Autriche,Viande d'Ovins/Caprins,animal,9854.2,7.0,0.41,0.61
Autriche,Viande de Bovins,animal,145604.3,55.0,6.8,2.91
Autriche,Viande de Suides,animal,446497.2,252.0,15.06,20.72
Autriche,Viande de Volailles,animal,158091.95,66.0,7.67,3.69
Autriche,"Viande, Autre",animal,11893.0,4.0,0.61,0.12
Azerbaïdjan,Abats Comestible,animal,18920.129999999997,6.0,0.98,0.16
Azerbaïdjan,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Azerbaïdjan,"Beurre, Ghee",animal,30121.6,65.0,0.07,7.32
Azerbaïdjan,Cephalopodes,animal,0.0,0.0,0.0,0.0
Azerbaïdjan,Crustacés,animal,376.52,0.0,0.01,0.0
Azerbaïdjan,Crème,animal,0.0,0.0,0.0,0.0
Azerbaïdjan,Graisses Animales Crue,animal,470.65,1.0,0.0,0.13
Azerbaïdjan,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Azerbaïdjan,Lait - Excl Beurre,animal,1431434.91,235.0,14.41,13.82
Azerbaïdjan,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Azerbaïdjan,Oeufs,animal,77280.73000000001,31.0,2.41,2.21
Azerbaïdjan,Perciform,animal,1129.56,0.0,0.02,0.0
Azerbaïdjan,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Azerbaïdjan,Poissons Eau Douce,animal,1506.08,0.0,0.05,0.01
Azerbaïdjan,"Poissons Marins, Autres",animal,470.65,0.0,0.02,0.01
Azerbaïdjan,Poissons Pelagiques,animal,16566.88,4.0,0.53,0.2
Azerbaïdjan,Viande d'Ovins/Caprins,animal,70974.02,54.0,2.79,4.71
Azerbaïdjan,Viande de Bovins,animal,119356.84,77.0,5.12,6.09
Azerbaïdjan,Viande de Suides,animal,2353.25,2.0,0.06,0.17
Azerbaïdjan,Viande de Volailles,animal,99024.76,35.0,3.56,2.21
Azerbaïdjan,"Viande, Autre",animal,1035.43,1.0,0.05,0.04
Bahamas,Abats Comestible,animal,916.1100000000001,7.0,1.21,0.19
Bahamas,Animaux Aquatiques Autre,animal,3.77,0.0,0.0,0.0
Bahamas,"Beurre, Ghee",animal,904.8,47.0,0.06,5.34
Bahamas,Cephalopodes,animal,67.86,0.0,0.07,0.0
Bahamas,Crustacés,animal,2725.71,8.0,1.66,0.09
Bahamas,Crème,animal,75.4,1.0,0.01,0.11
Bahamas,Graisses Animales Crue,animal,1123.46,59.0,0.05,6.62
Bahamas,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Bahamas,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Bahamas,Lait - Excl Beurre,animal,39494.52,186.0,9.96,11.31
Bahamas,"Mollusques, Autres",animal,546.65,1.0,0.13,0.01
Bahamas,Oeufs,animal,2337.4,23.0,1.7,1.53
Bahamas,Perciform,animal,1311.96,4.0,0.81,0.07
Bahamas,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Bahamas,Poissons Eau Douce,animal,395.85,2.0,0.31,0.08
Bahamas,"Poissons Marins, Autres",animal,309.14,2.0,0.3,0.07
Bahamas,Poissons Pelagiques,animal,5070.65,34.0,3.86,1.86
Bahamas,Viande d'Ovins/Caprins,animal,1967.94,27.0,2.03,2.03
Bahamas,Viande de Bovins,animal,7509.840000000001,77.0,9.11,4.22
Bahamas,Viande de Suides,animal,12342.98,175.0,9.11,14.8
Bahamas,Viande de Volailles,animal,17243.98,186.0,15.78,13.23
Bahamas,"Viande, Autre",animal,214.88999999999996,3.0,0.28,0.2
Bangladesh,Abats Comestible,animal,92391.05,2.0,0.26,0.07
Bangladesh,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Bangladesh,"Beurre, Ghee",animal,31319.0,5.0,0.0,0.53
Bangladesh,Cephalopodes,animal,0.0,0.0,0.0,0.0
Bangladesh,Crustacés,animal,178518.29999999996,2.0,0.31,0.02
Bangladesh,Crème,animal,0.0,0.0,0.0,0.0
Bangladesh,Graisses Animales Crue,animal,20357.35,3.0,0.01,0.34
Bangladesh,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Bangladesh,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Bangladesh,Lait - Excl Beurre,animal,3430996.45,37.0,2.05,2.0
Bangladesh,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Bangladesh,Oeufs,animal,325717.6,9.0,0.64,0.62
Bangladesh,Perciform,animal,93957.0,1.0,0.17,0.01
Bangladesh,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Bangladesh,Poissons Eau Douce,animal,2546234.7000000007,29.0,4.53,1.04
Bangladesh,"Poissons Marins, Autres",animal,114314.35,1.0,0.22,0.04
Bangladesh,Poissons Pelagiques,animal,75165.6,1.0,0.14,0.03
Bangladesh,Viande d'Ovins/Caprins,animal,208271.35,6.0,0.56,0.35
Bangladesh,Viande de Bovins,animal,200441.6,6.0,0.54,0.41
Bangladesh,Viande de Suides,animal,0.0,0.0,0.0,0.0
Bangladesh,Viande de Volailles,animal,219233.0,6.0,0.44,0.46
Bangladesh,"Viande, Autre",animal,15659.5,0.0,0.06,0.0
Barbade,Abats Comestible,animal,629.85,7.0,1.1,0.2
Barbade,"Beurre, Ghee",animal,213.75,15.0,0.02,1.67
Barbade,Cephalopodes,animal,91.2,1.0,0.13,0.01
Barbade,Crustacés,animal,524.4,2.0,0.42,0.02
Barbade,Crème,animal,684.0,13.0,0.17,1.27
Barbade,Graisses Animales Crue,animal,627.0,38.0,0.01,4.18
Barbade,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Barbade,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Barbade,Lait - Excl Beurre,animal,31486.8,185.0,10.21,10.11
Barbade,"Mollusques, Autres",animal,162.45,0.0,0.04,0.01
Barbade,Oeufs,animal,2738.85,34.0,2.61,2.27
Barbade,Perciform,animal,769.5,4.0,0.88,0.05
Barbade,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Barbade,Poissons Eau Douce,animal,210.9,2.0,0.24,0.08
Barbade,"Poissons Marins, Autres",animal,2989.65,17.0,2.95,0.51
Barbade,Poissons Pelagiques,animal,6691.8,56.0,7.33,2.7
Barbade,Viande d'Ovins/Caprins,animal,1162.8,24.0,1.5,1.9
Barbade,Viande de Bovins,animal,3742.05,60.0,7.0,3.31
Barbade,Viande de Suides,animal,2365.5,50.0,1.72,4.45
Barbade,Viande de Volailles,animal,12146.7,180.0,14.19,13.3
Barbade,"Viande, Autre",animal,0.0,0.0,0.0,0.0
Belgique,Abats Comestible,animal,36421.12,10.0,1.66,0.32
Belgique,Animaux Aquatiques Autre,animal,666.24,0.0,0.01,0.0
Belgique,"Beurre, Ghee",animal,77728.0,138.0,0.17,15.56
Belgique,Cephalopodes,animal,2776.0,1.0,0.1,0.01
Belgique,Crustacés,animal,22652.16,3.0,0.5,0.03
Belgique,Crème,animal,107153.6,52.0,0.71,5.1
Belgique,Graisses Animales Crue,animal,120367.36,214.0,0.01,23.77
Belgique,Huiles de Foie de Poisso,animal,7883.84,18.0,0.0,1.94
Belgique,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Belgique,Lait - Excl Beurre,animal,2622653.76,379.0,23.91,22.77
Belgique,"Mollusques, Autres",animal,41862.08,2.0,0.3,0.03
Belgique,Oeufs,animal,139799.36,49.0,3.77,3.45
Belgique,Perciform,animal,81281.28,15.0,2.01,0.68
Belgique,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Belgique,Poissons Eau Douce,animal,73064.32,12.0,1.76,0.45
Belgique,"Poissons Marins, Autres",animal,7328.64,2.0,0.22,0.05
Belgique,Poissons Pelagiques,animal,48968.64,13.0,1.56,0.66
Belgique,Viande d'Ovins/Caprins,animal,14657.28,9.0,0.49,0.81
Belgique,Viande de Bovins,animal,173555.52,45.0,5.5,2.34
Belgique,Viande de Suides,animal,429169.6,160.0,9.43,13.22
Belgique,Viande de Volailles,animal,135468.8,43.0,4.36,2.65
Belgique,"Viande, Autre",animal,23762.56,10.0,1.67,0.31
Belize,Abats Comestible,animal,249.0,2.0,0.37,0.06
Belize,"Beurre, Ghee",animal,92.96000000000001,5.0,0.01,0.62
Belize,Cephalopodes,animal,9.96,0.0,0.01,0.0
Belize,Crustacés,animal,903.0400000000001,5.0,0.98,0.05
Belize,Crème,animal,39.84,1.0,0.01,0.07
Belize,Graisses Animales Crue,animal,2337.28,139.0,0.09,15.59
Belize,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.01
Belize,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Belize,Lait - Excl Beurre,animal,26659.6,124.0,7.24,4.68
Belize,"Mollusques, Autres",animal,1128.8,2.0,0.24,0.02
Belize,Oeufs,animal,1610.1999999999998,17.0,1.31,1.14
Belize,Perciform,animal,481.4,2.0,0.33,0.03
Belize,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Belize,Poissons Eau Douce,animal,69.72,0.0,0.06,0.02
Belize,"Poissons Marins, Autres",animal,182.60000000000002,1.0,0.16,0.03
Belize,Poissons Pelagiques,animal,1779.52,13.0,1.75,0.6
Belize,Viande d'Ovins/Caprins,animal,46.480000000000004,1.0,0.05,0.06
Belize,Viande de Bovins,animal,1613.52,25.0,2.06,1.85
Belize,Viande de Suides,animal,5577.6,86.0,4.98,7.05
Belize,Viande de Volailles,animal,9398.92,121.0,9.13,9.16
Belize,"Viande, Autre",animal,119.52,2.0,0.17,0.14
Bermudes,Abats Comestible,animal,38.35,2.0,0.21,
Bermudes,"Beurre, Ghee",animal,196.3,59.0,0.08,6.7
Bermudes,Cephalopodes,animal,89.7,3.0,0.57,0.04
Bermudes,Crustacés,animal,466.7,9.0,1.7,0.09
Bermudes,Crème,animal,0.0,0.0,0.0,0.0
